"","ensgenes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","annotation","protein_id","deleteok","gen_acr","old_locus","Description","GO.IDs","GO.Names","Enzyme.Codes","Enzyme.Names","InterPro.IDs","InterPro.GO.IDs","InterPro.GO.Names"
"10","NIS_RS00050",663.855244590019,-1.41754910386787,0.308404490072926,-4.596395803228,4.29861782749503e-06,3.75134886179192e-05,7,"  amino acid permease","  WP_083754337.1"," transl_table 11"," ","NIS_0009","amino acid permease","C:GO:0016021; F:GO:0022857; P:GO:0055085","C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport","","",NA,NA,NA
"11","NIS_RS00055",3121.96284189023,-1.0560201546677,0.344268666502401,-3.06743034559706,0.00215907773167765,0.0074999573315868,8,"  succinate dehydrogenase/fumarate reductase iron-sulfur subunit","  WP_011979554.1"," transl_table 11"," ","NIS_0010","succinate dehydrogenase/fumarate reductase iron-sulfur subunit","P:GO:0006099; F:GO:0008177; F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0051537; F:GO:0051538; F:GO:0051539","P:tricarboxylic acid cycle; F:succinate dehydrogenase (ubiquinone) activity; F:electron transfer activity; P:electron transport chain; F:metal ion binding; F:2 iron, 2 sulfur cluster binding; F:3 iron, 4 sulfur cluster binding; F:4 iron, 4 sulfur cluster binding","EC:1.3.5.1","Succinate dehydrogenase (quinone)",NA,NA,NA
"18","NIS_RS00090",1578.6371093269,-2.2571421023019,0.300832499252659,-7.50298623954923,6.23801031322097e-14,7.72343651905672e-12,15,"  hypothetical protein","  WP_011979561.1"," transl_table 11"," ","NIS_0017","hypothetical protein","C:GO:0016021","C:integral component of membrane","","",NA,NA,NA
"19","NIS_RS00095",158.265993398599,-1.29088923088653,0.443721378637456,-2.90923379633068,0.00362315797680819,0.0114054830110837,16,"  ABC transporter ATP-binding protein","  WP_011979562.1"," transl_table 11"," ","NIS_0018","ABC transporter ATP-binding protein","F:GO:0005524; F:GO:0016887","F:ATP binding; F:ATPase activity","EC:3.6.1.3; EC:3.6.1.15","Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase",NA,NA,NA
"20","NIS_RS00100",359.798486544612,-1.18564181543251,0.368970897325828,-3.21337488681526,0.00131184938197637,0.00497849353581455,17,"  ABC transporter permease subunit","  WP_197524227.1"," transl_table 11"," ","NIS_0019","ABC transporter permease subunit","C:GO:0005886; C:GO:0016021; P:GO:0055085","C:plasma membrane; C:integral component of membrane; P:transmembrane transport","","",NA,NA,NA
"21","NIS_RS00105",2266.09973935386,-1.22047538001238,0.347014491598499,-3.51707323342705,0.000436333379127853,0.00193372801801404,1512,"  molybdate ABC transporter substrate-binding protein","  WP_148164044.1"," transl_table 11","  modA","NIS_0020","molybdate ABC transporter substrate-binding protein","P:GO:0015689; F:GO:0046872","P:molybdate ion transport; F:metal ion binding","","",NA,NA,NA
"39","NIS_RS00195",532.974102134758,-1.24017350651593,0.291113701927898,-4.26010008564658,2.04335383258653e-05,0.000141041252346827,34,"  NERD domain-containing protein","  WP_011979581.1"," transl_table 11"," ","NIS_0037","DUF2075 domain-containing protein","F:GO:0003677; F:GO:0003678; F:GO:0005524; P:GO:0032508","F:DNA binding; F:DNA helicase activity; F:ATP binding; P:DNA duplex unwinding","EC:3.6.1.3; EC:3.6.4.12; EC:3.6.1.15","Adenosinetriphosphatase; DNA helicase; Nucleoside-triphosphate phosphatase",NA,NA,NA
"40","NIS_RS00200",1058.17802202202,-1.45973512316915,0.335531028304202,-4.35052200849132,1.3581382210914e-05,9.81924020431409e-05,35,"  DUF309 domain-containing protein","  WP_011979582.1"," transl_table 11"," ","NIS_0038","DUF309 domain-containing protein","","","","",NA,NA,NA
"42","NIS_RS00210",999.301311543132,-1.19380832946827,0.315688389022623,-3.78160354001084,0.000155821386542915,0.000801771861666271,37,"  hypothetical protein","  WP_011979584.1"," transl_table 11"," ","NIS_0040","hypothetical protein","C:GO:0016021","C:integral component of membrane","","",NA,NA,NA
"46","NIS_RS00230",3154.80233057778,-1.03204068464726,0.328514836402307,-3.14153447664506,0.00168065020337264,0.00617693516304489,40,"  ferredoxin-thioredoxin reductase","  WP_197524229.1"," transl_table 11"," ","NIS_0044","ferredoxin-thioredoxin reductase","F:GO:0016730; P:GO:0055114","F:oxidoreductase activity, acting on iron-sulfur proteins as donors; P:oxidation-reduction process","","",NA,NA,NA
"50","NIS_RS00250",299.690864847379,-1.29112114604208,0.328861736956373,-3.9260303068136,8.63592792979229e-05,0.000479209334143376,44,"  LOG family protein","  WP_041353941.1"," transl_table 11"," ","NIS_0048",NA,NA,NA,NA,NA,NA,NA,NA
